,Forecast
2020-05-04,0.0022813973865512343
2020-05-05,0.0022812867559621115
2020-05-06,0.002281268317530591
2020-05-07,0.0022812130022360298
2020-05-08,0.0022811761253729887
2020-05-09,0.0022811392485099476
2020-05-10,0.0022811392485099476
2020-05-11,0.002281083933215386
2020-05-12,0.002281047056352345
2020-05-13,0.002281047056352345
2020-05-14,0.002281028617920825
2020-05-15,0.0022810101794893045
2020-05-16,0.002281028617920825
2020-05-17,0.002281028617920825
2020-05-18,0.002281047056352345
2020-05-19,0.002281028617920825
2020-05-20,0.002281047056352345
2020-05-21,0.002281065494783866
2020-05-22,0.002281047056352345
