,Forecast
2020-05-04,0.0025139158823400077
2020-05-05,0.0025038266603035152
2020-05-06,0.002493998647899035
2020-05-07,0.0024861133821326505
2020-05-08,0.002479779048556341
2020-05-09,0.0024746528095280908
2020-05-10,0.002470195920181873
2020-05-11,0.0024664573573236906
2020-05-12,0.0024634371209535434
2020-05-13,0.0024601066981453806
2020-05-14,0.0024579517186812754
2020-05-15,0.002456286507277194
2020-05-16,0.002454621295873113
2020-05-17,0.0024535111549370586
2020-05-18,0.002452776502847023
2020-05-19,0.0024522867347869987
2020-05-20,0.0024519438971449823
2020-05-21,0.0024515031058909608
2020-05-22,0.002451633710706967
